# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
16,Turn,1,-292,292,CHECK,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah', '8h', '8s']",,,100,100
16,River,0,-292,292,CHECK,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah', '8h', '8s', 'As']",,,100,100
16,River,1,-292,292,CHECK,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah', '8h', '8s', 'As']",,,100,100
17,Pre-Flop,1,-392,392,CALL,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s']",,,1,1
17,Pre-Flop,0,-392,392,RAISE,98,"['Ah', '7h']","['9s', '4s']","['7s', '6s']",,,2,2
17,Pre-Flop,1,-392,392,CALL,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s']",,,2,2
17,Flop,1,-392,392,CHECK,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s', '5d']",,,100,100
17,Flop,0,-392,392,CHECK,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s', '5d']",,,100,100
17,Turn,1,-392,392,CHECK,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s', '5d', '7d']",,,100,100
17,Turn,0,-392,392,CHECK,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s', '5d', '7d']",,,100,100
17,River,1,-392,392,CHECK,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s', '5d', '7d', '6d']",,,100,100
17,River,0,-392,392,CHECK,0,"['Ah', '7h']","['9s', '4s']","['7s', '6s', '5d', '7d', '6d']",,,100,100
18,Pre-Flop,0,-292,292,RAISE,98,"['5s', '4d']","['Ah', '7s']","['3s', '8d']",,,1,1
18,Pre-Flop,1,-292,292,CALL,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d']",,,2,2
18,Flop,0,-292,292,CHECK,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d', '4h']",,,100,100
18,Flop,1,-292,292,CHECK,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d', '4h']",,,100,100
